Section,W_kg_m,W_N_m,Area_cm2,h_mm,b_mm,tf_mm,tw_mm,Cyy_cm,Ixx_cm4,Iyy_cm4,rxx_cm,ryy_cm,Zxx_cm3,Zyy_cm3,r1_mm,r2_mm,D_deg,h1_mm,h2_mm,b1_over_2_mm,C_mm,g_mm,g1_min_mm,max_flange_rivet_mm
ISJC 100,5.8,56.9,7.41,100,45,5.1,3.0,1.4,123.8,14.9,4.09,1.42,24.8,4.8,6.0,2.0,91.5,77.0,11.5,21.0,4.5,25,50,12
ISJC 125,7.9,77.5,10.07,125,50,6.6,3.0,1.64,270.0,25.7,5.18,1.6,43.2,7.6,6.0,2.5,91.5,98.9,13.1,23.5,4.5,28,50,16
ISJC 150,9.9,97.1,12.65,150,55,6.9,3.6,1.66,471.1,37.9,6.1,1.73,62.8,9.9,7.0,3.0,91.5,121.2,14.4,25.7,5.1,30,50,20
ISJC 175,11.2,109.9,14.24,175,60,6.9,3.6,1.75,719.9,50.5,7.11,1.88,82.3,11.9,7.0,3.0,91.5,146.1,14.5,28.2,5.1,35,50,20
ISJC 200,13.9,136.4,17.77,200,70,7.1,4.1,1.97,1161.2,84.2,8.08,2.18,116.1,16.7,8.0,3.5,91.5,158.5,15.8,33.0,5.6,40,50,22
ISLC 75,5.7,55.9,7.26,75,40,6.0,3.7,1.35,66.1,11.5,3.02,1.26,17.6,4.3,5.0,2.0,91.5,50.4,12.3,18.2,5.2,21,,12
ISLC 100,7.9,77.5,10.02,100,50,6.4,4.0,1.62,164.7,24.8,4.06,1.57,32.9,7.3,6.0,2.0,91.5,74.3,12.8,23.0,5.5,28,50,16
ISLC 125,10.7,105.0,13.67,125,65,6.6,4.4,2.04,356.8,57.2,5.11,2.05,57.1,12.8,7.0,2.5,91.5,95.6,14.2,30.3,5.9,35,50,22
ISLC 150,14.4,141.3,18.36,150,75,7.8,4.8,2.38,697.2,103.2,6.16,2.37,93.0,20.2,8.0,3.5,91.5,117.6,16.5,35.1,6.3,40,50,25
ISLC 175,17.6,172.7,22.4,175,75,9.5,5.1,2.4,1148.4,126.5,7.16,2.38,131.3,24.8,8.0,4.0,91.5,138.6,18.2,35.0,6.6,40,55,25
ISLC 200,20.6,202.1,26.22,200,75,10.8,5.5,2.35,1725.5,146.9,8.11,2.37,172.6,28.5,8.5,4.5,91.5,160.0,20.0,34.8,7.0,40,55,25
ISLC 225,24.0,235.4,30.53,225,90,10.2,5.8,2.46,2547.9,209.5,9.14,2.62,226.5,32.0,11.0,5.5,96,175.9,24.5,42.1,7.3,50,60,28
ISLC 250,28.0,274.7,35.65,250,100,10.7,6.1,2.7,3687.9,298.4,10.17,2.89,285.0,40.9,11.0,5.5,96,198.9,25.5,47.0,7.6,60,60,28
ISLC 300,33.1,324.7,42.11,300,100,11.6,6.7,2.55,6047.9,346.0,11.98,2.87,403.2,46.4,12.0,6.0,96,245.4,27.3,46.7,8.2,60,60,28
ISLC 350,38.8,380.6,49.47,350,100,12.5,7.4,2.41,9312.6,394.6,13.72,2.82,532.1,52.0,13.0,6.0,96,291.9,29.1,45.3,8.9,60,65,28
ISLC 400,45.7,448.3,58.25,400,100,14.0,8.0,2.36,13989.5,460.4,15.5,2.81,699.5,60.2,14.0,7.0,96,337.1,31.4,45.0,9.5,60,65,28
ISMC 75,6.8,66.7,8.67,75,40,7.3,4.4,1.31,76.0,12.6,2.96,1.21,20.3,4.7,8.5,4.5,96,41.4,15.8,17.8,5.9,21,,12
ISMC 100,9.2,90.3,11.7,100,50,7.5,4.7,1.53,186.7,25.9,4.0,1.49,37.3,7.5,9.0,4.5,96,64.0,18.0,22.7,6.2,28,50,16
ISMC 125,12.7,124.6,16.19,125,65,8.1,5.0,1.94,416.4,59.9,5.07,1.92,65.6,13.1,9.5,5.0,96,85.4,19.8,30.0,6.5,35,55,22
ISMC 150,16.4,160.9,20.88,150,75,9.0,5.4,2.22,779.4,102.3,6.11,2.21,103.9,19.4,10.0,5.0,96,105.7,21.7,34.8,6.9,40,55,25
ISMC 175,19.1,187.4,24.38,175,75,10.2,5.7,2.2,1223.3,121.0,7.08,2.23,139.8,22.8,10.5,5.5,96,128.4,23.3,34.7,7.2,40,55,25
ISMC 200,22.1,216.8,28.21,200,75,11.4,6.1,2.17,1819.3,140.4,8.03,2.23,181.9,26.3,11.0,5.5,96,150.2,24.9,34.5,7.5,40,60,25
ISMC 225,25.9,254.1,33.01,225,80,12.4,6.4,2.3,2694.6,187.2,9.03,2.38,239.5,32.8,12.0,6.0,96,170.9,27.1,35.8,7.9,45,60,25
ISMC 250,30.4,298.2,38.67,250,80,14.1,7.1,2.3,3816.8,219.1,9.94,2.38,305.3,38.4,12.0,6.0,96,192.5,28.7,36.5,8.5,45,65,25
ISMC 300,35.8,351.2,45.64,300,90,13.6,7.6,2.36,6362.6,310.8,11.81,2.61,424.2,46.8,13.0,6.5,96,240.7,29.5,41.2,9.1,50,65,28
ISMC 350,42.1,413.0,53.66,350,100,13.5,8.1,2.44,10008.0,430.6,13.66,2.83,571.9,57.0,14.0,7.0,96,288.1,30.9,46.0,9.6,60,65,28
ISMC 400,49.4,484.6,62.93,400,100,15.3,8.6,2.42,15032.8,504.8,15.48,2.83,754.1,65.5,15.0,7.5,96,332.8,33.6,45.7,10.1,60,70,28
