Section,A_mm,B_mm,t_mm,Area_cm2,W_kg_m,W_N_m,Cxx_Cyy_cm,exx_eyy_cm,Ixx_Iyy_cm4,Iuu_cm4,Ivv_cm4,rxx_ryy_cm,ruu_cm,rvv_cm,Zxx_Zyy_cm3,r1_mm,r2_mm,Ixy_cm4
ISA 2020,20,20,3,1.12,0.9,8.8,0.59,1.41,0.4,0.6,0.2,0.58,0.73,0.37,0.3,4.0,2.5,0.2
ISA 2020,20,20,4,1.45,1.1,10.8,0.63,1.37,0.5,0.8,0.2,0.58,0.72,0.37,0.4,4.0,2.5,0.3
ISA 2525,25,25,3,1.41,1.1,10.8,0.71,1.79,0.8,1.2,0.3,0.73,0.93,0.47,0.4,4.5,3.0,0.4
ISA 2525,25,25,4,1.84,1.4,13.7,0.75,1.75,1.0,1.6,0.4,0.73,0.91,0.47,0.6,4.5,3.0,0.6
ISA 2525,25,25,5,2.25,1.8,17.7,0.79,1.71,1.2,1.8,0.5,0.72,0.91,0.47,0.7,4.5,3.0,0.7
ISA 3030,30,30,3,1.73,1.4,13.7,0.83,2.17,1.4,2.2,0.6,0.89,1.13,0.57,0.6,5.0,3.0,0.8
ISA 3030,30,30,4,2.26,1.8,17.7,0.87,2.13,1.8,2.8,0.7,0.89,1.12,0.57,0.8,5.0,3.0,1.0
ISA 3030,30,30,5,2.77,2.2,21.6,0.92,2.08,2.1,3.4,0.9,0.88,1.11,0.57,1.0,5.0,3.0,1.2
ISA 3535,35,35,3,2.03,1.6,15.7,0.95,2.55,2.3,3.6,0.9,1.05,1.33,0.67,0.9,5.0,3.0,1.3
ISA 3535,35,35,4,2.66,2.1,20.6,1.0,2.5,2.9,4.7,1.2,1.05,1.32,0.67,1.2,5.0,3.0,1.7
ISA 3535,35,35,5,3.27,2.6,25.5,1.04,2.46,3.5,5.6,1.5,1.04,1.31,0.67,1.4,5.0,3.0,2.1
ISA 3535,35,35,6,3.86,3.0,29.4,1.08,2.42,4.1,6.5,1.7,1.03,1.29,0.67,1.7,5.0,3.0,2.4
ISA 4040,40,40,3,2.34,1.8,17.7,1.08,2.92,3.4,5.5,1.4,1.21,1.54,0.77,1.2,5.5,3.0,2.0
ISA 4040,40,40,4,3.07,2.4,23.5,1.12,2.88,4.5,7.1,1.8,1.21,1.53,0.77,1.6,5.5,3.0,2.6
ISA 4040,40,40,5,3.78,3.0,29.4,1.16,2.84,5.4,8.6,2.2,1.2,1.51,0.77,1.9,5.5,3.0,3.2
ISA 4040,40,40,6,4.47,3.5,34.3,1.2,2.8,6.3,10.0,2.6,1.19,1.5,0.77,2.3,5.5,3.0,3.7
ISA 4545,45,45,3,2.64,2.1,20.6,1.2,3.3,5.0,8.0,2.0,1.38,1.74,0.87,1.5,5.5,3.0,2.9
ISA 4545,45,45,4,3.47,2.7,26.5,1.25,3.25,6.5,10.4,2.6,1.37,1.73,0.87,2.0,5.5,3.0,3.8
ISA 4545,45,45,5,4.28,3.4,33.4,1.29,3.21,7.9,12.6,3.2,1.36,1.72,0.87,2.5,5.5,3.0,4.6
ISA 4545,45,45,6,5.07,4.0,39.2,1.33,3.17,9.2,14.6,3.8,1.35,1.7,0.87,2.9,5.5,3.0,5.4
ISA 5050,50,50,3,2.95,2.3,22.6,1.32,3.68,6.9,11.1,2.8,1.53,1.94,0.97,1.9,6.0,3.0,4.1
ISA 5050,50,50,4,3.88,3.0,29.4,1.37,3.63,9.1,14.5,3.6,1.53,1.93,0.97,2.5,6.0,3.0,5.3
ISA 5050,50,50,5,4.79,3.8,37.3,1.41,3.59,11.0,17.6,4.5,1.52,1.92,0.97,3.1,6.0,3.0,6.5
ISA 5050,50,50,6,5.68,4.5,44.1,1.45,3.55,12.9,20.6,5.3,1.51,1.9,0.96,3.6,6.0,3.0,7.6
ISA 5555,55,55,5,5.27,4.1,40.2,1.53,3.97,14.7,23.5,5.9,1.67,2.11,1.06,3.7,6.5,4.0,8.6
ISA 5555,55,55,6,6.26,4.9,48.1,1.57,3.93,17.3,27.5,7.0,1.66,2.1,1.06,4.4,6.5,4.0,10.1
ISA 5555,55,55,8,8.18,6.4,62.8,1.65,3.85,22.0,34.9,9.1,1.64,2.07,1.06,5.7,6.5,4.0,12.8
ISA 5555,55,55,10,10.02,7.9,77.5,1.72,3.78,26.3,41.5,11.2,1.62,2.03,1.06,7.0,6.5,4.0,15.1
ISA 6060,60,60,5,5.75,4.5,44.1,1.65,4.35,19.2,30.6,7.7,1.82,2.31,1.16,4.4,6.5,4.5,11.3
ISA 6060,60,60,6,6.84,5.4,53.0,1.69,4.31,22.6,36.0,9.1,1.82,2.29,1.15,5.2,6.5,4.5,13.3
ISA 6060,60,60,8,8.96,7.0,68.7,1.77,4.23,29.0,46.0,11.9,1.8,2.27,1.15,6.8,6.5,4.5,16.9
ISA 6060,60,60,10,11.0,8.6,84.4,1.85,4.15,34.8,54.9,14.6,1.78,2.23,1.15,8.4,6.5,4.5,20.1
ISA 6565,65,65,5,6.25,4.9,48.1,1.77,4.73,24.7,39.4,9.9,1.99,2.51,1.26,5.2,6.5,4.5,14.5
ISA 6565,65,65,6,7.44,5.8,56.9,1.81,4.69,29.1,46.5,11.7,1.98,2.5,1.26,6.2,6.5,4.5,17.2
ISA 6565,65,65,8,9.76,7.7,75.5,1.89,4.61,37.4,59.5,15.3,1.96,2.47,1.25,8.1,6.5,4.5,22.0
ISA 6565,65,65,10,12.0,9.4,92.2,1.97,4.53,45.0,71.3,18.8,1.94,2.44,1.25,9.9,6.5,4.5,26.2
ISA 7070,70,70,5,6.77,5.3,52.0,1.89,5.11,31.1,49.8,12.5,2.15,2.71,1.36,6.1,7.0,4.5,18.4
ISA 7070,70,70,6,8.06,6.3,61.8,1.94,5.06,36.8,58.8,14.8,2.14,2.7,1.36,7.3,7.0,4.5,21.7
ISA 7070,70,70,8,10.58,8.3,81.4,2.02,4.98,47.4,75.5,19.3,2.12,2.67,1.35,9.5,7.0,4.5,27.9
ISA 7070,70,70,10,13.02,10.2,100.1,2.1,4.9,57.2,90.7,23.7,2.1,2.64,1.35,11.7,7.0,4.5,33.3
ISA 7575,75,75,5,7.27,5.7,55.9,2.02,5.48,38.7,61.9,15.5,2.31,2.92,1.46,7.1,7.0,4.5,22.8
ISA 7575,75,75,6,8.66,6.8,66.7,2.06,5.44,45.7,73.1,18.4,2.3,2.91,1.46,8.4,7.0,4.5,27.0
ISA 7575,75,75,8,11.38,8.9,87.3,2.14,5.36,59.0,94.1,24.0,2.28,2.88,1.45,11.0,7.0,4.5,34.8
ISA 7575,75,75,10,14.02,11.0,107.9,2.22,5.28,71.4,113.3,29.4,2.26,2.84,1.45,13.5,7.0,4.5,41.7
ISA 8080,80,80,6,9.29,7.3,71.6,2.18,5.82,56.0,89.6,22.5,2.46,3.11,1.56,9.6,8.0,4.5,33.0
ISA 8080,80,80,8,12.21,9.6,94.2,2.27,5.73,72.5,115.6,29.4,2.44,3.08,1.55,12.6,8.0,4.5,42.7
ISA 8080,80,80,10,15.05,11.8,115.8,2.34,5.66,87.7,139.5,36.0,2.41,3.04,1.55,15.5,8.0,4.5,51.4
ISA 8080,80,80,12,17.81,14.0,137.3,2.42,5.58,101.9,161.4,42.4,2.39,3.01,1.54,18.3,8.0,4.5,59.2
ISA 9090,90,90,6,10.47,8.2,80.4,2.42,6.58,80.1,128.1,32.0,2.77,3.5,1.75,12.2,8.5,5.5,47.2
ISA 9090,90,90,8,13.79,10.8,105.9,2.51,6.49,104.2,166.4,42.0,2.75,3.47,1.75,16.0,8.5,5.5,61.5
ISA 9090,90,90,10,17.03,13.4,131.5,2.59,6.41,126.7,201.9,51.6,2.73,3.44,1.74,19.8,8.5,5.5,74.5
ISA 9090,90,90,12,20.19,15.8,155.0,2.66,6.34,147.9,234.9,60.9,2.71,3.41,1.74,23.3,8.5,5.5,86.5
ISA 100100,100,100,6,11.67,9.2,90.2,2.67,7.33,111.3,178.1,44.5,3.09,3.91,1.95,15.2,8.5,5.5,65.7
ISA 100100,100,100,8,15.39,12.1,118.7,2.76,7.24,145.1,231.8,58.4,3.07,3.88,1.95,20.0,8.5,5.5,85.8
ISA 100100,100,100,10,19.03,14.9,146.2,2.84,7.16,177.0,282.2,71.8,3.05,3.85,1.94,24.7,8.5,5.5,104.4
ISA 100100,100,100,12,22.59,17.7,173.6,2.92,7.08,207.0,329.3,84.7,3.03,3.82,1.94,29.2,8.5,5.5,121.6
ISA 110110,110,110,8,17.02,13.4,131.5,3.0,8.0,195.0,311.7,78.2,3.38,4.28,2.14,24.4,10.0,6.0,115.1
ISA 110110,110,110,10,21.06,16.5,161.9,3.08,7.92,238.4,380.5,96.3,3.36,4.25,2.14,30.1,10.0,6.0,140.6
ISA 110110,110,110,12,25.02,19.6,192.3,3.16,7.84,279.6,445.3,113.8,3.34,4.22,2.13,35.7,10.0,6.0,164.5
ISA 110110,110,110,15,30.81,24.2,237.4,3.27,7.73,337.4,535.4,139.3,3.31,4.17,2.13,43.7,10.0,6.0,197.0
ISA 130130,130,130,8,20.22,15.9,156.0,3.5,9.5,328.3,525.1,131.4,4.03,5.1,2.55,34.5,10.0,6.0,194.2
ISA 130130,130,130,10,25.06,19.7,193.3,3.58,9.42,402.7,643.4,162.1,4.01,5.07,2.54,42.7,10.0,6.0,238.3
ISA 130130,130,130,12,29.82,23.4,229.6,3.66,9.34,473.8,755.9,191.8,3.99,5.03,2.54,50.7,10.0,6.0,279.9
ISA 130130,130,130,15,36.81,28.9,283.5,3.78,9.22,574.6,914.2,235.0,3.95,4.98,2.53,62.3,10.0,6.0,337.8
ISA 150150,150,150,10,29.03,22.8,223.7,4.06,10.94,622.4,995.4,249.4,4.63,5.86,2.93,56.9,12.0,8.0,368.2
ISA 150150,150,150,12,34.59,27.2,266.8,4.14,10.86,735.4,1174.8,296.0,4.61,5.83,2.93,67.7,12.0,8.0,435.0
ISA 150150,150,150,15,42.78,33.6,329.6,4.26,10.74,896.8,1429.7,363.8,4.58,5.78,2.92,83.5,12.0,8.0,529.1
ISA 150150,150,150,18,50.79,39.9,391.4,4.38,10.62,1048.9,1668.2,429.5,4.54,5.73,2.91,98.7,12.0,8.0,616.0
ISA 200200,200,200,12,46.61,36.6,359.0,5.36,14.64,1788.9,2862.0,715.9,6.2,7.84,3.92,122.2,15.0,10.0,1058.9
ISA 200200,200,200,15,57.8,45.4,445.4,5.49,14.51,2197.7,3511.8,883.7,6.17,7.79,3.91,151.4,15.0,10.0,1301.2
ISA 200200,200,200,18,68.81,54.0,529.7,5.61,14.39,2588.7,4130.8,1046.5,6.13,7.75,3.9,179.9,15.0,10.0,1530.5
ISA 200200,200,200,25,93.8,73.6,722.0,5.88,14.12,3436.3,5460.9,1411.6,6.05,7.63,3.88,243.3,15.0,10.0,2015.7
