Section,b,h,W_kg,W_N,Area,h,b,tf,tw,Cxx,Ixx,Iyy,rxx,ryy,Zxx,Zyy,r1,r2,D
ISNT 20,20,20,0.9,8.8,1.13,20,20,3,3,0.6,0.4,0.2,0.59,0.39,0.3,0.2,4,3,91
ISNT 30,30,30,1.4,13.7,1.75,30,30,3,3,0.83,1.4,0.6,0.89,0.57,0.6,0.4,5,3.5,91
ISNT 40,40,40,3.5,34.3,4.48,40,40,6,6,1.2,6.3,3,1.18,0.82,2.2,1.5,5.5,4,91
ISNT 50,50,50,4.5,44.1,5.7,50,50,6,6,1.44,12.7,5.9,1.5,1.02,3.6,2.4,6,4,91
ISNT 60,60,60,5.4,53,6.9,60,60,6,6,1.67,22.5,10.1,1.81,1.21,5.2,3.4,6.5,4.5,91
ISNT 80,80,80,9.6,94.2,12.25,80,80,8,8,2.23,71.2,32.3,2.41,1.62,12.3,8.1,8,5.5,91
ISNT 100,100,100,15,147.2,19.1,100,100,10,10,2.79,173.8,79.9,3.02,2.05,24.1,16,9,6,91
ISNT 150,150,150,22.8,223.7,29.08,150,150,10,10,3.95,603.8,267.5,4.56,3.03,54.6,35.7,10,7,91
ISHT 75,100,75,15.3,150.1,19.49,75,150,9,8.4,1.62,96.2,230.2,2.22,3.44,16.4,30.1,8,4,94
ISHT 100,250,100,20,196.2,25.47,100,200,9,7.8,1.91,193.8,497.3,2.76,4.42,24,49.3,9,4.5,94
ISHT 125,250,125,27.4,268.8,34.85,125,250,9.7,8.8,2.37,415.4,1005.8,3.45,5.37,41,79.9,10,5,94
ISHT 150,250,150,29.4,288.4,37.42,150,250,10.6,7.6,2.66,573.7,1096.8,3.92,5.41,46.5,87.7,11,5.5,94
ISST 100,50,100,8.1,79.5,10.37,100,50,10,5.8,3.03,99,9.6,3.09,0.96,14.2,3.8,8,4,98
ISST 150,75,150,15.7,154,19.96,150,75,11.6,8,4.75,450.2,37,4.75,1.36,43.9,9.9,9,4.5,98
ISST 200,165,200,28.4,278.6,36.22,200,165,12.5,8,4.78,1267.8,358.2,5.92,3.15,83.3,43.4,16,8,98
ISST 250,182,250,37.5,367.9,47.75,250,180,14.1,9.2,6.4,2774.4,532,7.62,3.34,149.2,59.1,17,8.5,98
ISLT 50,50,50,4,39.2,5.11,50,50,6.4,4,1.19,9.9,6.4,1.39,1.12,2.6,2.5,7,3,91.5
ISLT 75,80,75,7.1,69.7,9.04,75,80,6.8,4.8,1.72,41.9,27.6,2.15,1.75,7.2,6.9,9.5,3,91.5
ISLT 100,100,100,12.7,124.6,16.16,100,100,10.8,5.7,2.13,116.6,75,2.69,2.15,14.8,15,11,5.5,98
ISJT 75,50,75,3.5,34.3,4.5,75,50,4.6,3,2,24.8,4.6,2.35,1.01,4.5,1.8,5,1.5,91.5
ISJT 87.5,50,87.5,4,39.2,5.14,87.5,50,4.8,3.2,2.5,39,4.8,2.75,0.97,6.2,1.9,5,1.5,91.5
ISJT 100,60,100,5,49,6.32,100,60,5,3.4,2.81,63.5,8.6,3.17,1.17,8.8,2.9,5,1.5,91.5
ISJT 112.5,80,112.5,6.4,62.8,8.14,112.5,80,5,3.7,3.01,101.6,20.2,3.53,1.58,12.3,5.1,6.5,1.5,91.5
