Section,W_kg/m,W_N/m,Area,h,bf,tf,tw,Ixx,Iyy,rxx,ryy,Zxx,Zyy,r1,r2,D_deg,h1,h2,b1,C,g,g1_min,Max_flange_rivet_mm
ISJB 150,7.1,69.7,9.01,150,50,4.6,3,322.1,9.2,5.98,1.01,42.9,3.7,5,1.5,91.5,130.4,9.8,23.5,3,30,45,6
ISJB 175,8.1,79.5,10.28,175,50,4.8,3.2,479.3,9.7,6.83,0.97,54.8,3.9,5,1.5,91.5,155,10,23.4,3.1,30,45,6
ISJB 200,9.9,97.1,12.64,200,60,5,3.4,780.7,17.3,7.86,1.17,78.1,5.8,5,1.5,91.5,179.5,10.25,28.38,3.2,30,45,6
ISJB 225,12.8,125.6,16.28,225,80,5,3.7,1308.5,40.5,8.97,1.58,116.3,10.1,6.5,1.5,91.5,201.5,11.95,38.15,3.35,40,45,12
ISLB 75,6.1,59.8,7.71,75,50,5,3.7,72.7,10,3.07,1.14,19.4,4,6.5,2,91.5,51.7,11.65,23.15,3.35,30,,6
ISLB 100,8,78.5,10.21,100,50,6.4,4,168,12.7,4.06,1.12,33.6,5.1,7,3,91.5,73,13.5,23,3.5,30,50,6
ISLB 125,11.9,116.7,15.12,125,75,6.5,4.4,408.8,43.4,5.19,1.69,65.1,11.6,8,3,91.5,95.4,14.8,35.3,3.7,35,50,12
ISLB 150,14.2,139.3,18.08,150,80,6.8,4.8,688.2,55.2,6.17,1.75,91.8,13.8,9.5,3,91.5,116.9,16.55,37.6,3.9,40,50,12
ISLB 175,16.7,163.8,21.3,175,90,6.9,5.1,1008.2,79.6,7.17,1.93,125.3,17.7,9.5,3,91.5,141.6,16.7,42.45,4.05,50,50,12
ISLB 200,19.8,194.2,25.27,200,100,7.3,5.4,1696.6,115.4,8.19,2.13,169.7,23.1,9.5,3,91.5,165.7,17.15,47.3,4.2,55,50,16
ISLB 225,23.5,230.5,29.92,225,100,8.6,5.8,2501.9,112.7,9.15,1.94,222.4,22.5,12,6,98,180.3,22.35,47.18,4.45,55,55,16
ISLB 250,27.9,273.7,35.53,250,125,8.2,6.1,3717.8,193.4,10.23,2.33,297.4,30.9,13,6.5,98,202.6,23.7,59.45,4.55,65,60,22
ISLB 275,33,323.7,42.02,275,140,9,6.4,5375.3,287,11.31,2.61,392.4,41,14,7,98,223.7,25.65,66.8,4.7,80,60,22
ISLB 300,37.7,369.8,48.08,300,150,9.4,6.7,7332.9,376.2,12.35,2.8,488.9,50.2,15,7.5,98,245.1,27.45,71.65,4.85,90,60,22
ISLB 325,43.1,422.8,54.9,325,165,9.8,7,9874.6,510.8,13.41,3.05,607.7,61.9,16,8,98,266.5,29.25,79,5,100,65,25
ISLB 350,49.5,485.6,63.01,350,165,11.4,7.4,13158.3,631.9,14.45,3.17,751.9,76.6,16,8,98,288.3,30.85,78.8,5.2,100,65,25
ISLB 400,56.9,558.2,72.43,400,165,12.5,8,19306.3,716.4,16.33,3.15,965.3,86.8,16,8,98,336.2,31.9,78.5,5.5,100,65,25
ISLB 450,65.3,640.6,83.14,450,170,13.4,8.6,27536.1,853,18.2,3.2,1223.8,100.4,16,8,98,384,33,80.7,5.8,100,70,25
ISLB 500,75,735.8,95.5,500,180,14.1,9.2,38679,1069.9,20.1,3.34,1543.2,118.2,17,8.5,98,430.2,34.9,85.4,6.1,100,70,28
ISLB 550,86.3,846.6,109.97,550,190,15,9.9,53169.6,1333.1,21.99,3.48,1933.2,140.5,18,9,98,476.1,36.95,90.05,6.45,100,70,32
ISLB 600,99.5,976.1,126.69,600,210,15.5,10.5,72867.6,1821.9,23.98,3.79,2428.9,173.5,20,10,98,520,39.9,99.75,6.75,"1,40,100",75,"25,32"
ISMB 100,11.5,112.8,14.6,100,75,7.2,4,257.5,40.8,4.2,1.67,51.5,10.9,9,4.5,98,65,17.5,35.5,3.5,35,55,12
ISMB 125,13,127.5,16.6,125,75,7.6,4.4,449,43.7,5.2,1.62,71.8,11.7,9,4.5,98,89.2,17.9,35.3,3.7,35,55,12
ISMB 150,14.9,146.2,19,150,80,7.6,4.8,726.4,52.6,6.18,1.66,96.9,13.1,9,4.5,98,113.9,18.05,37.6,3.9,40,55,12
ISMB 175,19.3,189.3,24.62,175,90,8.6,5.5,1272,85,7.19,1.86,145.4,18.9,10,5,98,134.5,20.25,42.25,4.25,50,55,12
ISMB 200,25.4,249.1,32.33,200,100,10.8,5.7,2235.4,150,8.32,2.15,223.5,30,11,5.5,98,152.7,23.65,47.15,4.35,55,60,16
ISMB 225,31.2,306.1,39.72,225,110,11.8,6.5,3441.8,218.3,9.31,2.34,305.9,39.7,12,6,98,173.3,25.85,51.75,4.75,60,60,20
